ID,Статус,USDT,TON,Валюта,Продукт,BSC адрес,TON адрес,TX Hash,Дата
FT-TF4X004E599F,waiting,500,,usdt,,0x7023598fF77d9ccac635514614B0C4dF7eCe4b3A,,,2026-05-16T14:45:36.103Z
FT-TF4VBW6B0F6E,paid,651,1.301574,ton,,0xBB3cbd8A9552fbACaFF940a0415c749dC1Ade3f5,,0x6b64623c31df62a65a3e202bbf1cf9e4bf4d32c20f41cd0aff68a15e7a8aa755,2026-05-16T14:09:32.736Z
FT-TF4UR8D0C63E,waiting,2000,,usdt,,0x89C906Eda4828950c38cb431F03d829D2a3b27C9,,,2026-05-16T13:57:08.366Z
FT-TF4SE15B5420,waiting,1250,2.499659,ton,,0x00b7eF39B0d01de4dFA32C4Cc37DF46d061CA2C8,,,2026-05-16T13:06:01.092Z
FT-TF4PAOD8D8A3,paid,500,,usdt,,0x5B11F8E134844b2058C0822432789b3d65daeB48,,0xe0fdc3ed2b7640d93c99de0320a2c7586465d7275bb15517388cbdfbd38e2e29,2026-05-16T11:59:12.544Z
FT-TF4MYW5EC0D5,paid,1000,1.999838,ton,,0x7a41E332431d4e069B65532c8830E172d6Afa32e,,0xc16ab584c19532066d66fa287f079b0ae1721464af3de1579f8892d16117c062,2026-05-16T11:08:56.643Z
FT-TF4HPC5D6752,paid,1500,2.999062,ton,,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,0x94311b11953ab3cc7ef8b4fc6376b8095ffbd044d951ce26479819473d40375a,2026-05-16T09:15:12.186Z
FT-TF4GVLE344C7,waiting,500,,usdt,,0x7d7127cc4febc428d1cb70a62e28d94baac094fc,,,2026-05-16T08:57:21.734Z
FT-TF463C84BD09,waiting,500,,usdt,,0x587C260A505155F0D83f780Cab5c4D72f32952B6,,,2026-05-16T05:04:24.528Z
FT-TF3HK0CF2C61,expired,628,1.255552,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T20:14:24.493Z
FT-TF3HJYC1B3F8,waiting,628,1.255783,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T20:14:22.064Z
FT-TF3F6ZD8077F,expired,500,,usdt,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T19:23:23.887Z
FT-TF3F6F402C94,waiting,628,1.256088,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T19:23:03.968Z
FT-TF3EWL9FD95C,expired,500,,usdt,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T19:17:09.908Z
FT-TF3EW7A3C76E,waiting,628,1.256234,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T19:16:55.348Z
FT-TF3DJDB62506,waiting,625,1.249763,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T18:47:37.698Z
FT-TF3AU894B5E8,paid,1500,2.999326,ton,,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,0x57144861532c1902ebb2c8426b9d8634c691a9ae617e6155ac567767723d2d23,2026-05-15T17:49:20.573Z
FT-TF3AAH69E175,paid,625,1.33,ton,,0x4B334fF0Df370044fb7171C58128588a304DE77f,,0x53393b7fd12fa05189b2a2786c12327f8c3c94d93bcf6443e649351b45a5c56a,2026-05-15T17:37:29.240Z
FT-TF3A8V02EAAC,waiting,500,,usdt,,0x000000000000000000000000000000000000dEaD,,,2026-05-15T17:36:31.875Z
FT-TF39BAB2157D,waiting,4000,8.096,ton,,0x51b994B775249b9C79eef569524FDFcAF088878d,,,2026-05-15T17:16:22.130Z
FT-TF380S8C5023,paid,600,,usdt,,0xD7A4d0d6b857A5C2139A39E7546654C9DE7725b9,,0xd8bf6ce98e87b41959795f91fa61fcc4274a37633aa98e35de50d7b8dec40600,2026-05-15T16:48:28.214Z
FT-TF37XYC8254B,waiting,500,,usdt,,0xD7A4d0d6b857A5C2139A39E7546654C9DE7725b9,,,2026-05-15T16:46:46.246Z
FT-TF37ODE84074,waiting,500,,usdt,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T16:41:01.129Z
FT-TF37JLF9235B,waiting,1000,,usdt,,0x000000000000000000000000000000000000dEaD,,,2026-05-15T16:38:09.554Z
FT-TF379PEB81A3,paid,628,1.2883,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T16:32:13.721Z
FT-TF378L4E53B4,expired,628,1.2873,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T16:31:33.972Z
FT-TF36AN47EDED,paid,1000,2.036,ton,,0x4b334ff0df370044fb7171c58128588a304de77f,,,2026-05-15T16:11:11.387Z
